epoch, training perplexity, valid perplexity, test perplexity
  1,   580.34,   365.79,
  2,   236.79,   242.54,
  3,   168.23,   188.01,
  4,   134.20,   157.01,
  5,   113.04,   136.17,
  6,    97.18,   121.26,
  7,    84.60,   102.15,
  8,    73.28,    87.85,
  9,    63.28,    78.56,
 10,    54.62,    69.99,
 11,    46.91,    61.07,
 12,    40.76,    56.40,
 13,    35.91,    50.23,
 14,    31.66,    45.85,
 15,    28.36,    42.79,
 16,    25.54,    37.83,
 17,    23.22,    35.73,
 18,    21.26,    32.29,
 19,    19.60,    30.71,
 20,    18.26,    28.47,
 21,    17.01,    26.79,
 22,    15.95,    25.82,
 23,    15.18,    24.36,
 24,    14.36,    22.97,
 25,    13.69,    22.13,
 26,    13.09,    21.37,
 27,    12.56,    20.84,
 28,    12.20,    19.80,
 29,    11.79,    19.67,
 30,    11.42,    18.50,
 31,    11.15,    18.10,
 32,    10.79,    17.76,
 33,    10.56,    17.27,
 34,    10.24,    16.62,
 35,    10.08,    16.59,
 36,     9.94,    16.09,
 37,     9.73,    15.86,
 38,     9.54,    15.71,
 39,     9.46,    15.28,
 40,     9.36,    15.41,
end,,,     6.16
