epoch, training perplexity, valid perplexity, test perplexity
  1,   595.48,   375.26,
  2,   232.48,   237.64,
  3,   162.77,   199.40,
  4,   130.75,   157.24,
  5,   108.90,   136.29,
  6,    92.90,   125.02,
  7,    78.89,   104.48,
  8,    66.61,    89.72,
  9,    55.23,    79.66,
 10,    45.60,    70.82,
 11,    37.67,    63.18,
 12,    31.27,    58.18,
 13,    26.12,    52.30,
 14,    22.13,    48.74,
 15,    19.01,    45.54,
 16,    16.62,    41.77,
 17,    14.72,    40.43,
 18,    13.19,    37.43,
 19,    11.82,    34.32,
 20,    10.89,    32.35,
 21,     9.96,    31.89,
 22,     9.30,    30.62,
 23,     8.71,    28.71,
 24,     8.14,    28.86,
 25,     6.84,    20.47,
 26,     5.13,    18.88,
 27,     4.33,    17.97,
 28,     3.82,    17.14,
 29,     3.46,    16.41,
 30,     3.20,    16.27,
 31,     2.98,    15.72,
 32,     2.80,    15.59,
 33,     2.65,    15.17,
 34,     2.53,    14.71,
 35,     2.41,    14.48,
 36,     2.29,    13.88,
 37,     2.21,    13.64,
 38,     2.12,    13.74,
 39,     2.14,    12.63,
 40,     1.99,    12.43,
end,,,     3.40
